"user_id","game_name","payment_date","revenue_amount_usd"
fuL+cD0zV6Gn4ypTYmXUgw==,game 3,2022-09-18,39.09
"3iITAz/ADjFv3PDTgTjxSg==",game 3,2022-08-06,18.84
pz7LUOs9i7xgncmHVxQvOw==,game 3,2022-07-18,25.38
"3iITAz/ADjFv3PDTgTjxSg==",game 3,2022-03-20,23.76
hi1ErLiMLDP0HWvMqLKv6g==,game 3,2022-08-06,12.87
YC2fZQTQXV2UR1/WHDrVqw==,game 3,2022-12-09,31.32
ojVPXYZw2oeGtcmG7LcLGA==,game 3,2022-05-26,27.36
F03P4YcFbbtcWUlujjIQmQ==,game 3,2022-11-19,20.46
mXihLMwkG8RgO1jsFnJXnA==,game 3,2022-08-25,12.75
psERjQAamFwr88Zadc4wcQ==,game 3,2022-07-04,13.08
rw8yxS9+t5PvgINa7EhMvQ==,game 3,2022-09-28,19.44
nS8ODZHVyaod50PqOekmOw==,game 3,2022-10-04,12.6
aQDvOXzsDAJWi3Y47ptRPg==,game 3,2022-06-01,19.08
Jp0hnV9XOJGVV5jpFhlqgQ==,game 3,2022-03-30,39.0
pLOCMIX+imLIzoDehgdOPA==,game 3,2022-11-17,14.91
VAduzk1Og0uicXfMLD3VbQ==,game 3,2022-09-08,20.82
gxZPbCoYIu8slavUm05KGA==,game 3,2022-12-17,19.5
dUXVADLWvf2uvh+Q6TNrMw==,game 3,2022-11-06,16.47
"7EPlnA7OQ9MhMx+od6FA9g==",game 3,2022-08-24,25.65
HWpnvfSvYzUsQCcCKhetIg==,game 3,2022-07-25,14.22
D0sawvsyqnyUMXNy+aXo7Q==,game 3,2022-12-24,25.95
WRx4ye0bvLc4925ketwxzQ==,game 3,2022-11-29,15.03
e/6IajqZ922YY1rh2ErMJQ==,game 3,2022-11-25,38.1
SyWxmJ+Ha8K2C9UJt8blVA==,game 3,2022-09-27,33.09
gPRMy8HkmaiyX+13OxuP/A==,game 3,2022-04-29,13.32
QZBiEFECZAgVl5IkN9/cFw==,game 3,2022-09-05,22.14
zmZPan/KZoyrIR2r/SvLdA==,game 3,2022-08-09,16.29
"7L4SKPGMd33lnSOq6PWyYg==",game 3,2022-12-10,16.92
xSi5UajdkNHXppWOTm6g8w==,game 3,2022-07-11,19.17
DorDcyqBWMg5IEaflqn5Xw==,game 3,2022-09-28,12.54
"6NexxpTuLaFmuoksJ0l8rg==",game 3,2022-12-15,24.57
dxXTsxsoGNYPn+1rVBAUww==,game 3,2022-10-26,18.21
+XPKfmhBmI2NdGQ96Iaysg==,game 3,2022-08-15,18.48
wA+Rd++M6EKUppqQeb+pTw==,game 3,2022-09-28,12.15
H44DjZG42orzuBXLai7JkA==,game 3,2022-03-22,13.32
QoHEss2e+b385deeX2p39Q==,game 3,2022-07-03,16.89
ux4Q9iTbOyaU1c/0SKvF7w==,game 3,2022-11-04,21.93
DAMO0tILVRlXZhYONdvs0Q==,game 3,2022-06-27,12.33
c5qsNfxhW80Ws3aBXDa1nA==,game 3,2022-09-06,19.59
oQQmPjqm7DR+exPmp6xDhg==,game 3,2022-08-24,13.2
"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,2022-04-08,24.06
Np8MbaAllrt9d2F+g1ZvJQ==,game 3,2022-11-23,21.78
IdKyooyTjAbvCA7p+ujKCw==,game 3,2022-05-20,17.43
B8zuTsAC2iJ98u2nlv/fUw==,game 3,2022-05-04,12.3
er3/fOrRpmyqiRaC0CaFcg==,game 3,2022-06-26,15.69
xVwGwMaEG1yZydv5VIfEQA==,game 3,2022-09-08,18.84
Lug+Yg90jslWgHEN6dc+Ng==,game 3,2022-07-16,25.71
Uen3Ap0lnrgWVWJtFCSo7g==,game 3,2022-09-24,20.19
YC2fZQTQXV2UR1/WHDrVqw==,game 3,2022-11-07,13.41
SwiAKdzn0b+A4XegM5x0Hw==,game 3,2022-11-25,17.16
"2KL9Q4TKLCcD4cngwhx6Dg==",game 3,2022-09-23,14.04
Ghk2iJmzSUW4qLsmJgwOcw==,game 3,2022-11-01,22.89
UNcp1RmIObUiGNqLDHjNVw==,game 3,2022-10-29,38.1
"0A5RkQrm+GBgG7KSFk/xhw==",game 3,2022-11-30,23.97
"72brUr/DKItStlTen5pHYg==",game 3,2022-06-07,17.76
zSepnWFgLH0tQb1s4mxKZQ==,game 3,2022-10-18,20.22
kGxMA4SONgR8wL4JeeX8PQ==,game 3,2022-12-29,17.43
ZmnZeh2zth0OyQaAzd6eTA==,game 3,2022-08-21,13.74
xSi5UajdkNHXppWOTm6g8w==,game 3,2022-10-21,23.04
b6lW5fOrJiJUE7dwhEp9VQ==,game 3,2022-08-23,34.47
lP6BWSFF4OZeWp0jrAHY9g==,game 3,2022-05-14,13.2
VGEh7S+cxW9PT7H8KNgEGQ==,game 3,2022-11-27,29.73
"1KzlDBp5hORL7Y5PBaB+0g==",game 3,2022-10-18,20.37
c5qsNfxhW80Ws3aBXDa1nA==,game 3,2022-10-01,14.25
"4btLP2zvi8eBV0t08fdkKQ==",game 3,2022-07-16,16.8
zmZPan/KZoyrIR2r/SvLdA==,game 3,2022-11-25,29.01
DorDcyqBWMg5IEaflqn5Xw==,game 3,2022-05-31,14.4
DAMO0tILVRlXZhYONdvs0Q==,game 3,2022-09-25,18.03
Bcs3CbYx2EpbL9otxlEUmg==,game 3,2022-08-19,25.89
Krr8Kwf65LaX8LctHRsFWg==,game 3,2022-12-01,34.86
HxWcXHURvvtOJkrXAcDxQg==,game 3,2022-07-09,24.63
SwiAKdzn0b+A4XegM5x0Hw==,game 3,2022-10-23,21.09
geIiJ1L04w2qAE0qzQUb2g==,game 3,2022-07-05,17.04
ymEApWLjh3I9oLJnWIBHFA==,game 3,2022-09-28,33.27
qEF/fPDQLJPXIx6RiSIP1A==,game 3,2022-07-10,12.63
BDvlXttM/hbupcLic+5ZWg==,game 3,2022-06-14,16.44
DorDcyqBWMg5IEaflqn5Xw==,game 3,2022-09-25,16.95
q8UcdT1sZCl07AqhDVz5ZA==,game 3,2022-09-27,23.01
"1BBMagZRq/39AV1l2rm4Iw==",game 3,2022-11-04,14.19
DorDcyqBWMg5IEaflqn5Xw==,game 3,2022-08-03,28.95
pLOCMIX+imLIzoDehgdOPA==,game 3,2022-10-15,13.47
o55dseByUOl9s5IQCz1kuQ==,game 3,2022-04-21,24.3
DcYWdg5xq9/5Yd7SaaVhZw==,game 3,2022-08-09,16.98
"7EPlnA7OQ9MhMx+od6FA9g==",game 3,2022-12-19,16.59
BbnuW+2kIgxo7dxg5BBIeQ==,game 3,2022-12-06,23.4
HWpnvfSvYzUsQCcCKhetIg==,game 3,2022-07-17,14.01
V7J42heW8l19wiBJ8UpRyw==,game 3,2022-07-06,26.52
unoAVprNoepzjDQwQzWj6A==,game 3,2022-12-26,34.65
iFnn4bfYgNs8OS5MCcLjeA==,game 3,2022-09-28,14.19
jVhb69DTRT5TSWYEiUrlbg==,game 3,2022-03-26,17.46
V7J42heW8l19wiBJ8UpRyw==,game 3,2022-08-25,33.51
yFNWN0sYyxkSJ+yLRq1WqA==,game 3,2022-11-10,15.63
jVhb69DTRT5TSWYEiUrlbg==,game 3,2022-10-29,15.51
RQBsCvxlogTNUidSygqgcQ==,game 3,2022-08-29,14.22
RiIlY436bXNX8MIW9vUaAQ==,game 3,2022-09-10,16.02
v9uJC6CIm0KR00+LpWQUBg==,game 3,2022-12-05,21.33
qEF/fPDQLJPXIx6RiSIP1A==,game 3,2022-09-15,22.5
GOl6BQXsy0zvbvIWIoKEQw==,game 3,2022-08-30,58.92
W6fRYNhsTNHQkvkoFEUaVQ==,game 3,2022-04-30,18.45
nPrRQwP3UZo2KBlM2mJ8fg==,game 3,2022-10-13,15.69
"7GCGwypiXsxGxetp6/KmnA==",game 3,2022-08-19,12.45
VGEh7S+cxW9PT7H8KNgEGQ==,game 3,2022-08-02,15.51
"5a/eDajN+4bJdigfI5TWoQ==",game 3,2022-07-04,12.87
F9Jtg6+0qPUKWDgBJxG8cA==,game 3,2022-08-02,30.39
BLnx9pj0y+SVkckLR/01qw==,game 3,2022-09-22,12.78
fuL+cD0zV6Gn4ypTYmXUgw==,game 3,2022-11-20,17.37
"6We7zBO7mVbNxGEl/xPKVg==",game 3,2022-11-11,50.28
dxXTsxsoGNYPn+1rVBAUww==,game 3,2022-09-15,16.05
nfIwLLLuemHymdg1HYidrA==,game 3,2022-11-05,23.85
I8yTxTfERu6jtLOfWB0dFQ==,game 3,2022-09-10,23.97
DAMO0tILVRlXZhYONdvs0Q==,game 3,2022-07-26,20.58
"7zai/c69uF/NhB95HgKuYw==",game 3,2022-10-12,22.77
"3iITAz/ADjFv3PDTgTjxSg==",game 3,2022-07-12,18.48
QZBiEFECZAgVl5IkN9/cFw==,game 3,2022-09-15,23.25
Np8MbaAllrt9d2F+g1ZvJQ==,game 3,2022-12-17,17.46
HxWcXHURvvtOJkrXAcDxQg==,game 3,2022-06-16,44.61
QZBiEFECZAgVl5IkN9/cFw==,game 3,2022-08-29,22.47
"2KL9Q4TKLCcD4cngwhx6Dg==",game 3,2022-10-28,21.66
QoHEss2e+b385deeX2p39Q==,game 3,2022-08-24,36.66
Hamw6F2EZmJfI2glmE2NEg==,game 3,2022-06-09,14.94
DAMO0tILVRlXZhYONdvs0Q==,game 3,2022-06-02,21.09
zeu++qOqokuGcT0ghN97bQ==,game 3,2022-08-27,15.6
Bcs3CbYx2EpbL9otxlEUmg==,game 3,2022-03-30,26.13
Veep00i4vvZbTAVD6GMoiA==,game 3,2022-04-13,14.88
"7RkS5ikrXwWByJobMXv2sA==",game 3,2022-11-12,28.62
"7BqUeLmbiug63XrWs2+ZQQ==",game 3,2022-07-09,22.47
Ghk2iJmzSUW4qLsmJgwOcw==,game 3,2022-11-02,14.94
yFNWN0sYyxkSJ+yLRq1WqA==,game 3,2022-09-09,28.14
Lug+Yg90jslWgHEN6dc+Ng==,game 3,2022-11-20,13.08
ORSvkhCut21rsk0cVtJfJA==,game 3,2022-12-16,21.87
BLnx9pj0y+SVkckLR/01qw==,game 3,2022-10-01,17.85
"0afix9qVNfU3GJY1n0QGkw==",game 3,2022-09-28,14.7
ildaqkizLaFesmkjCvlzmQ==,game 3,2022-08-06,15.51
dpfu6t8G4blqMn55KM8bSg==,game 3,2022-04-29,33.03
NBaV27MmzBu99zAeNFSjUA==,game 3,2022-11-30,12.6
gT0iqDKuIXNm4ceMd9eZ1A==,game 3,2022-09-27,21.21
"3KHhqZr7/1n2+bTP13WuXA==",game 3,2022-09-07,17.64
BbnuW+2kIgxo7dxg5BBIeQ==,game 3,2022-10-03,16.17
cjAwQwy//1xm2O5pNRveqw==,game 3,2022-12-07,12.63
l3sFUsG2qpcnrEzwRnjvtQ==,game 3,2022-04-23,29.55
Vtl1tAkN8ajIRaOwKulKyQ==,game 3,2022-12-03,32.19
rw8yxS9+t5PvgINa7EhMvQ==,game 3,2022-07-12,16.77
FnaqKQlPHm2pH1+S+K+Gfg==,game 3,2022-12-11,23.85
"7ew71UmoMb73L41PM/YL/w==",game 3,2022-09-07,17.22
HxWcXHURvvtOJkrXAcDxQg==,game 3,2022-05-17,17.37
Hamw6F2EZmJfI2glmE2NEg==,game 3,2022-05-05,15.6
fFqrZjaytcDUnW57W7PRJA==,game 3,2022-12-29,40.35
T+RA0/fgzbUBLF89D4AEDA==,game 3,2022-06-18,15.21
"7GE5h/3N3lcro3K9T3aujw==",game 3,2022-06-17,22.98
BJlqmsfEshc/QjsD7VgEjg==,game 3,2022-06-30,27.9
B7ziVc7jLVg/+snNIp3hLQ==,game 3,2022-07-02,13.71
cOCixiBbcAHemYgbNdoTcw==,game 3,2022-10-28,16.77
yFNWN0sYyxkSJ+yLRq1WqA==,game 3,2022-11-01,65.79
MRcEXu/KG95hsIyJM/816A==,game 3,2022-07-10,14.73
dUXVADLWvf2uvh+Q6TNrMw==,game 3,2022-11-30,22.89
xt/PY4N2zkZQgtlZ9Cg82w==,game 3,2022-12-28,27.21
ICBVvRc9TR+qF7IoBfEWsQ==,game 3,2022-10-16,24.24
hi1ErLiMLDP0HWvMqLKv6g==,game 3,2022-08-28,19.26
jVhb69DTRT5TSWYEiUrlbg==,game 3,2022-06-16,19.08
crKNTIblJ0113SKEtSJQHw==,game 3,2022-11-15,18.75
tBFTAZra3r5TkHhDubnYyg==,game 3,2022-10-25,17.88
DorDcyqBWMg5IEaflqn5Xw==,game 3,2022-05-28,23.22
Krr8Kwf65LaX8LctHRsFWg==,game 3,2022-11-08,23.49
ZmjMhgyYl6o8iFq964FEWg==,game 3,2022-09-28,29.13
"0A5RkQrm+GBgG7KSFk/xhw==",game 3,2022-10-04,19.29
"9IWUQ1iWPfYSSN2tWuVqMQ==",game 3,2022-06-28,26.79
"4b7l8C489HEJirtoe7xtFg==",game 3,2022-04-10,14.94
Uen3Ap0lnrgWVWJtFCSo7g==,game 3,2022-06-09,32.07
K/6KHxREKTlFZXRfBNVNuQ==,game 3,2022-04-30,17.67
orbgZNBGuhZZx63HTAbyIw==,game 3,2022-07-29,19.14
"8ncYOMYXeKDelzX40EnuLA==",game 3,2022-11-08,20.67
"7SeM1pmnTTTXfhI+x3ldng==",game 3,2022-11-02,20.16
cOCixiBbcAHemYgbNdoTcw==,game 3,2022-12-06,15.39
Re0WtVSaiuBn90MFtMRCww==,game 3,2022-12-21,18.48
"8ncYOMYXeKDelzX40EnuLA==",game 3,2022-08-25,18.6
zmZPan/KZoyrIR2r/SvLdA==,game 3,2022-12-01,36.21
Bcs3CbYx2EpbL9otxlEUmg==,game 3,2022-09-30,24.03
jVhb69DTRT5TSWYEiUrlbg==,game 3,2022-04-15,28.05
UFVjte0RzYKTngAiVvjqPQ==,game 3,2022-11-08,12.09
"7ew71UmoMb73L41PM/YL/w==",game 3,2022-05-17,13.95
ShEJVi+TtuQlvdw2uetd/Q==,game 3,2022-06-08,14.07
DqezK7HAqZ+GovyRuzxD1A==,game 3,2022-05-19,19.38
Fqu+/F0rn1G4YP3f3yHA1Q==,game 3,2022-07-21,12.63
nPrRQwP3UZo2KBlM2mJ8fg==,game 3,2022-12-27,31.5
WDsSR+yQGqoMMBfCxqkZlw==,game 3,2022-06-25,24.63
ICBVvRc9TR+qF7IoBfEWsQ==,game 3,2022-10-29,15.78
nPrRQwP3UZo2KBlM2mJ8fg==,game 3,2022-07-26,13.71
Vn7Z6/B2x4f/w8R6xVfw5w==,game 3,2022-08-02,23.1
Ghk2iJmzSUW4qLsmJgwOcw==,game 3,2022-06-08,18.99
fuL+cD0zV6Gn4ypTYmXUgw==,game 3,2022-11-09,17.67
K/6KHxREKTlFZXRfBNVNuQ==,game 3,2022-04-04,23.79
WHwqHTWZHdOrSBFh/vackQ==,game 3,2022-10-19,30.36
wDXJbTe2RLmAMKsPm5zZDg==,game 3,2022-05-22,20.61
jVhb69DTRT5TSWYEiUrlbg==,game 3,2022-05-25,23.34
HxWcXHURvvtOJkrXAcDxQg==,game 3,2022-10-02,15.06
